epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6126,3.74754,5.14011,3.03078,0.86924,0.14001,0.11519,0.03662,2.41655,1.89264,1.49004,0.00332645,0.00332645,0.00332645
2,171.832,2.21671,1.85246,1.50256,0.58822,0.23848,0.22093,0.08432,2.06437,1.57463,1.2519,0.00659385,0.00659385,0.00659385
3,292.964,1.95356,1.52257,1.28131,0.68994,0.32982,0.30807,0.13844,1.80843,1.72075,1.11191,0.00979525,0.00979525,0.00979525
4,461.237,1.75336,1.2894,1.17321,0.63552,0.35596,0.32844,0.16232,1.5613,1.49256,1.05352,0.009703,0.009703,0.009703
5,629.43,1.59932,1.11858,1.1142,0.71097,0.37787,0.40302,0.21537,1.44371,1.14556,1.00666,0.009604,0.009604,0.009604
6,801.832,1.50335,1.01373,1.07324,0.7219,0.39509,0.46206,0.24915,1.3954,1.12365,0.98568,0.009505,0.009505,0.009505
7,966.97,1.44582,0.95271,1.0499,0.64669,0.52957,0.56917,0.29906,1.38549,1.03509,0.98532,0.009406,0.009406,0.009406
8,1132.6,1.39804,0.90813,1.03621,0.65557,0.55772,0.57737,0.30276,1.36273,1.02745,0.97177,0.009307,0.009307,0.009307
9,1299.08,1.36541,0.87482,1.02464,0.66217,0.55546,0.6138,0.32569,1.29563,0.95735,0.9659,0.009208,0.009208,0.009208
10,1469.3,1.33684,0.84144,1.01286,0.68281,0.61374,0.62903,0.34206,1.28839,0.99289,0.9534,0.009109,0.009109,0.009109
11,1641.32,1.31623,0.82729,1.0075,0.69006,0.62408,0.64423,0.34433,1.30206,0.90851,0.95837,0.00901,0.00901,0.00901
12,1812.12,1.29857,0.80077,0.99926,0.69056,0.61446,0.648,0.35068,1.25818,0.92417,0.94702,0.008911,0.008911,0.008911
13,1886.38,1.28115,0.79291,0.99064,0.66519,0.6374,0.65815,0.36146,1.23915,0.90444,0.94944,0.008812,0.008812,0.008812
14,1956.68,1.27382,0.77979,0.9918,0.69176,0.6226,0.65478,0.35941,1.25773,0.8822,0.95299,0.008713,0.008713,0.008713
15,2026.14,1.25048,0.75862,0.98061,0.70406,0.64717,0.69017,0.37873,1.23131,0.87211,0.94578,0.008614,0.008614,0.008614
16,2095.36,1.24004,0.75149,0.9783,0.67364,0.66269,0.67093,0.37172,1.23233,0.8626,0.94353,0.008515,0.008515,0.008515
17,2164.5,1.23698,0.7438,0.9767,0.68244,0.66687,0.69158,0.38788,1.21487,0.88149,0.93921,0.008416,0.008416,0.008416
18,2233.61,1.22533,0.73472,0.97328,0.70551,0.66544,0.69431,0.39466,1.20019,0.88405,0.92879,0.008317,0.008317,0.008317
19,2303.5,1.21977,0.73476,0.9695,0.71522,0.67238,0.70177,0.39824,1.19339,0.83367,0.92929,0.008218,0.008218,0.008218
20,2374.13,1.20806,0.71595,0.96756,0.73013,0.67655,0.72145,0.40851,1.18585,0.82487,0.92781,0.008119,0.008119,0.008119
21,2445.06,1.20423,0.72074,0.96851,0.70779,0.69391,0.7139,0.41095,1.17503,0.82215,0.92767,0.00802,0.00802,0.00802
22,2515.92,1.19731,0.70767,0.96402,0.73808,0.65618,0.72093,0.40643,1.19654,0.82798,0.92958,0.007921,0.007921,0.007921
23,2586.53,1.18993,0.69861,0.96233,0.72406,0.69996,0.72336,0.41405,1.17358,0.82476,0.9244,0.007822,0.007822,0.007822
24,2656.85,1.18241,0.69083,0.95903,0.72144,0.70644,0.73247,0.4159,1.18017,0.81707,0.92605,0.007723,0.007723,0.007723
25,2728.63,1.17541,0.68629,0.95708,0.7218,0.70125,0.72834,0.41328,1.16737,0.8057,0.92151,0.007624,0.007624,0.007624
26,2799.09,1.1694,0.6787,0.95175,0.74598,0.66185,0.71605,0.4096,1.18265,0.8057,0.9261,0.007525,0.007525,0.007525
27,2869.55,1.1627,0.67451,0.95284,0.73398,0.703,0.72848,0.41992,1.16373,0.81597,0.9202,0.007426,0.007426,0.007426
28,2939.79,1.16265,0.66936,0.95303,0.72783,0.70969,0.741,0.42659,1.16514,0.79156,0.92294,0.007327,0.007327,0.007327
29,3010.34,1.15636,0.66862,0.95185,0.74556,0.69755,0.74866,0.43046,1.15751,0.78517,0.92155,0.007228,0.007228,0.007228
30,3080.78,1.15444,0.66342,0.94755,0.73018,0.7131,0.74798,0.43314,1.15561,0.78578,0.91966,0.007129,0.007129,0.007129
31,3150.7,1.14721,0.65818,0.94441,0.74308,0.71256,0.75272,0.43922,1.14338,0.77286,0.91859,0.00703,0.00703,0.00703
32,3220.88,1.14653,0.65592,0.94555,0.76053,0.71637,0.76292,0.43976,1.14837,0.77181,0.91499,0.006931,0.006931,0.006931
33,3291.26,1.14099,0.65253,0.94298,0.72544,0.72425,0.75326,0.43655,1.14816,0.80664,0.91843,0.006832,0.006832,0.006832
34,3361.44,1.13687,0.64716,0.94463,0.71133,0.73228,0.75918,0.44354,1.14377,0.77992,0.91671,0.006733,0.006733,0.006733
35,3431.46,1.13378,0.64274,0.94419,0.71854,0.73799,0.7503,0.43958,1.14053,0.77804,0.91704,0.006634,0.006634,0.006634
36,3501.41,1.13238,0.64331,0.94065,0.75007,0.7202,0.76375,0.4474,1.13228,0.76118,0.91499,0.006535,0.006535,0.006535
37,3572.54,1.12449,0.63641,0.93665,0.74224,0.73221,0.76763,0.446,1.13657,0.77147,0.9124,0.006436,0.006436,0.006436
38,3642.73,1.12156,0.63269,0.93713,0.75171,0.71122,0.76717,0.44886,1.136,0.76687,0.91302,0.006337,0.006337,0.006337
39,3712.55,1.11652,0.63125,0.93812,0.73356,0.72041,0.76376,0.45032,1.13628,0.77835,0.91322,0.006238,0.006238,0.006238
40,3783.14,1.12156,0.63089,0.93681,0.74006,0.72675,0.76515,0.44869,1.13813,0.77236,0.91478,0.006139,0.006139,0.006139
41,3853.59,1.11204,0.6223,0.93352,0.73894,0.72916,0.76466,0.45238,1.12382,0.74829,0.91116,0.00604,0.00604,0.00604
42,3923.96,1.10293,0.62285,0.93159,0.74766,0.72213,0.76297,0.45308,1.12443,0.74457,0.91275,0.005941,0.005941,0.005941
43,3995.04,1.10282,0.61666,0.93286,0.75842,0.72636,0.77225,0.45766,1.11526,0.75108,0.90565,0.005842,0.005842,0.005842
44,4066.46,1.10008,0.61536,0.93052,0.72766,0.73231,0.76992,0.45739,1.12269,0.74651,0.9079,0.005743,0.005743,0.005743
45,4137.09,1.0957,0.61114,0.92685,0.72518,0.73885,0.77241,0.46184,1.1221,0.74601,0.90855,0.005644,0.005644,0.005644
46,4207.8,1.09482,0.61432,0.92583,0.75159,0.73466,0.77996,0.45995,1.12826,0.74845,0.90928,0.005545,0.005545,0.005545
47,4278.49,1.09038,0.60139,0.92634,0.7301,0.74846,0.77672,0.46069,1.11969,0.7414,0.90753,0.005446,0.005446,0.005446
48,4348.92,1.08857,0.60606,0.92547,0.72548,0.75643,0.78103,0.46369,1.11124,0.73842,0.90629,0.005347,0.005347,0.005347
49,4419.19,1.08436,0.60376,0.92246,0.7245,0.77861,0.78439,0.46883,1.11347,0.74963,0.90674,0.005248,0.005248,0.005248
50,4489.55,1.07862,0.59609,0.92253,0.73774,0.73549,0.77084,0.45719,1.11189,0.74016,0.90745,0.005149,0.005149,0.005149
51,4560.21,1.079,0.59761,0.92093,0.74812,0.744,0.78574,0.46939,1.11341,0.73345,0.90826,0.00505,0.00505,0.00505
52,4630.98,1.07725,0.59484,0.92212,0.75783,0.74154,0.78376,0.46465,1.1162,0.74706,0.90906,0.004951,0.004951,0.004951
53,4702.24,1.06835,0.59202,0.919,0.71648,0.76573,0.78418,0.4667,1.11121,0.74354,0.9051,0.004852,0.004852,0.004852
54,4773.15,1.07014,0.58942,0.91627,0.7562,0.7457,0.78773,0.47133,1.11042,0.7379,0.90426,0.004753,0.004753,0.004753
55,4843.74,1.06794,0.58803,0.91522,0.73736,0.76363,0.78812,0.46974,1.10984,0.74335,0.90595,0.004654,0.004654,0.004654
56,4914.46,1.06244,0.58633,0.91745,0.73074,0.76857,0.78419,0.46694,1.109,0.74659,0.90707,0.004555,0.004555,0.004555
57,4985.43,1.06179,0.58002,0.91581,0.7429,0.74118,0.78018,0.46719,1.10421,0.74299,0.90523,0.004456,0.004456,0.004456
